"idProposicao";"uriProposicao";"idDeputadoAutor";"uriAutor";"codTipoAutor";"tipoAutor";"nomeAutor";"siglaPartidoAutor";"uriPartidoAutor";"siglaUFAutor";"ordemAssinatura";"proponente"
"13614";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/13614";"74548";"https://dadosabertos.camara.leg.br/api/v2/deputados/74548";"10000";"Deputado";"Jaques Wagner";"PT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36844";"BA";"1";"1"
"13611";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/13611";"74571";"https://dadosabertos.camara.leg.br/api/v2/deputados/74571";"10000";"Deputado";"Nelson Pellegrino";"PT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36844";"BA";"1";"1"
"13610";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/13610";"74307";"https://dadosabertos.camara.leg.br/api/v2/deputados/74307";"10000";"Deputado";"Ubiratan Aguiar";"";"";"";"18";"0"
"13610";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/13610";"74694";"https://dadosabertos.camara.leg.br/api/v2/deputados/74694";"10000";"Deputado";"Vivaldo Barbosa";"";"";"";"19";"0"
"13610";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/13610";"74218";"https://dadosabertos.camara.leg.br/api/v2/deputados/74218";"10000";"Deputado";"Walter Pinheiro";"PT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36844";"BA";"20";"0"
"13610";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/13610";"74544";"https://dadosabertos.camara.leg.br/api/v2/deputados/74544";"10000";"Deputado";"Geddel Vieira Lima";"PMDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36800";"BA";"7";"0"
"13610";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/13610";"74421";"https://dadosabertos.camara.leg.br/api/v2/deputados/74421";"10000";"Deputado";"Inocêncio Oliveira";"PFL";"https://dadosabertos.camara.leg.br/api/v2/partidos/36790";"PE";"9";"0"
"13610";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/13610";"74841";"https://dadosabertos.camara.leg.br/api/v2/deputados/74841";"10000";"Deputado";"Fernando Gabeira";"PT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36844";"RJ";"6";"0"
"13610";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/13610";"73420";"https://dadosabertos.camara.leg.br/api/v2/deputados/73420";"10000";"Deputado";"Roberto Jefferson";"PTB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36845";"RJ";"17";"0"
"13610";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/13610";"74676";"https://dadosabertos.camara.leg.br/api/v2/deputados/74676";"10000";"Deputado";"Bispo Rodrigues";"PL";"https://dadosabertos.camara.leg.br/api/v2/partidos/37906";"RJ";"4";"0"
"13610";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/13610";"74700";"https://dadosabertos.camara.leg.br/api/v2/deputados/74700";"10000";"Deputado";"Luiz Antonio Fleury";"PTB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36845";"SP";"14";"0"
